42,1,"Mirando City, TX",27.44,-99.001,1 15 2013 7:20AM,1 15 2013 10:30AM
42,2,"Villa Park, IL",41.915,-87.979,1 17 2013 8:30AM,1 17 2013 12:00PM
43,1,"Mirando City, TX",27.44,-99.001,1 9 2013 12:07PM,1 9 2013 4:00PM
43,2,"Villa Park, IL",41.915,-87.979,1 14 2013 10:15AM,1 14 2013 11:39AM
44,1,"Mirando City, TX",27.44,-99.001,1 15 2013 1:00PM,1 15 2013 5:00PM
44,2,"Villa Park, IL",41.915,-87.979,1 18 2013 8:00AM,1 18 2013 9:00AM
45,1,"Mirando City, TX",27.44,-99.001,1 15 2013 10:19AM,1 15 2013 12:26PM
45,2,"Villa Park, IL",41.915,-87.979,1 18 2013 6:00AM,1 18 2013 7:00AM
46,1,"Mirando City, TX",27.44,-99.001,1 15 2013 11:40AM,1 15 2013 2:02PM
46,2,"Villa Park, IL",41.915,-87.979,1 18 2013 7:30AM,1 18 2013 10:00AM
47,1,"Mirando City, TX",27.44,-99.001,1 15 2013 2:02PM,1 15 2013 4:40PM
47,2,"Villa Park, IL",41.915,-87.979,1 18 2013 9:00AM,1 18 2013 11:00AM
48,1,"Mirando City, TX",27.44,-99.001,1 10 2013 10:04AM,1 10 2013 1:32PM
48,2,"Villa Park, IL",41.915,-87.979,1 14 2013 12:15PM,1 14 2013 2:18PM
49,1,"Mirando City, TX",27.44,-99.001,1 16 2013 2:00PM,1 17 2013 3:50PM
49,2,"Villa Park, IL",41.915,-87.979,1 21 2013 11:30AM,1 21 2013 1:30PM
50,1,"Mirando City, TX",27.44,-99.001,1 16 2013 10:00AM,1 16 2013 11:46AM
50,2,"Villa Park, IL",41.915,-87.979,1 21 2013 1:22PM,1 21 2013 4:00PM
51,1,"Mirando City, TX",27.44,-99.001,1 17 2013 2:20PM,1 17 2013 3:00PM
51,2,"Villa Park, IL",41.915,-87.979,1 21 2013 6:00AM,1 21 2013 10:30AM
52,1,"Mirando City, TX",27.44,-99.001,2 1 2013 9:30AM,2 1 2013 11:13AM
52,2,"Villa Park, IL",41.915,-87.979,2 4 2013 12:15PM,2 4 2013 2:40PM
53,1,"Mirando City, TX",27.44,-99.001,1 14 2013 1:00PM,1 14 2013 3:00PM
53,2,"Villa Park, IL",41.915,-87.979,1 17 2013 11:20AM,1 17 2013 2:50PM
54,1,"Mirando City, TX",27.44,-99.001,1 21 2013 11:21AM,1 21 2013 2:12PM
54,2,"Villa Park, IL",41.915,-87.979,1 23 2013 7:15AM,1 23 2013 10:00AM
55,1,"Mirando City, TX",27.44,-99.001,1 10 2013 5:00PM,1 10 2013 6:35PM
55,2,"Villa Park, IL",41.915,-87.979,1 14 2013 9:26AM,1 14 2013 11:30AM
56,1,"Mirando City, TX",27.44,-99.001,1 21 2013 3:00PM,1 21 2013 5:00PM
56,2,"Villa Park, IL",41.915,-87.979,1 24 2013 1:20PM,1 24 2013 2:25PM
57,1,"Mirando City, TX",27.44,-99.001,1 17 2013 1:00PM,1 17 2013 4:30PM
57,2,"Villa Park, IL",41.915,-87.979,1 21 2013 1:00PM,1 21 2013 3:52PM
58,1,"Mirando City, TX",27.44,-99.001,1 22 2013 4:00PM,1 22 2013 6:15PM
58,2,"Villa Park, IL",41.915,-87.979,1 24 2013 8:00AM,1 24 2013 10:30AM
59,1,"Mirando City, TX",27.44,-99.001,1 11 2013 11:16AM,1 11 2013 3:20PM
59,2,"Villa Park, IL",41.915,-87.979,1 14 2013 10:40AM,1 14 2013 11:45AM
60,1,"Mirando City, TX",27.44,-99.001,1 17 2013 9:50AM,1 17 2013 12:29PM
60,2,"Villa Park, IL",41.915,-87.979,1 21 2013 5:47AM,1 21 2013 7:36AM
61,1,"Mirando City, TX",27.44,-99.001,1 21 2013 12:49PM,1 21 2013 4:30PM
61,2,"Villa Park, IL",41.915,-87.979,1 23 2013 1:00PM,1 23 2013 2:00PM
62,1,"Mirando City, TX",27.44,-99.001,1 14 2013 2:00PM,1 14 2013 4:20PM
62,2,"Villa Park, IL",41.915,-87.979,1 17 2013 6:00AM,1 17 2013 7:30AM
63,1,"Mirando City, TX",27.44,-99.001,1 14 2013 1:00PM,1 14 2013 2:57PM
